alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_type,damage,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,crash_date_est_i,intersection_related_i,work_zone_i,dooring_i,private_property_i,veh_count,ppl_count,veh_first_contact_point_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_towed_i_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,year,month,day,hour,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,veh_truck_i,veh_mc_i,ppl_age_mean,ppl_age_min,ppl_age_max,cause_group
STRAIGHT AND LEVEL,1532,2025-09-24 15:38:00,4,15,9,no injury / drive away,"OVER $1,500",NO CONTROLS,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8896523558,daylight,-87.7552594715,NO INDICATION OF INJURY,2,20,FOLLOWING TOO CLOSELY,NO DEFECTS,dry,NOT APPLICABLE,N,511,no controls,NOT DIVIDED,clear,,,,,,3,1,"[""FRONT"", ""REAR""]","[""FORD""]","[""STRAIGHT AHEAD""]","[""ESCAPE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""75""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,24,15,0,afternoon,41.89,-87.76,41.89_-87.76,0,0,75.0,75.0,75.0,Following Too Closely
STRAIGHT AND LEVEL,1022,2025-09-19 18:20:00,6,18,9,no injury / drive away,"OVER $1,500",NO CONTROLS,REAR TO FRONT,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8589859663,daylight,-87.7045009693,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,dry,UNABLE TO DETERMINE,W,3139,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,1.0,4,1,"[""FRONT"", ""REAR""]","[""FORD"", ""UNKNOWN""]","[""BACKING"", ""STRAIGHT AHEAD""]","[""ESCAPE"", ""MOTORIZED""]",[],"[""47""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,18,0,afternoon,41.86,-87.7,41.86_-87.7,0,1,47.0,47.0,47.0,Other
STRAIGHT AND LEVEL,211,2025-09-23 15:45:00,3,15,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8342514337,daylight,-87.6143315183,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,S,3321,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""SIDE-RIGHT-REAR"", ""UNKNOWN""]","[""HONDA"", ""TOYOTA""]","[""ENTERING TRAFFIC LANE FROM PARKING"", ""STRAIGHT AHEAD""]","[""ACCORD"", ""CAMRY""]",[],"[""51""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,23,15,0,afternoon,41.83,-87.61,41.83_-87.61,0,0,51.0,51.0,51.0,Other
STRAIGHT AND LEVEL,413,2025-09-19 17:35:00,6,17,9,no injury / drive away,"$501 - $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.7228670788,daylight,-87.5852894796,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,NO DEFECTS,dry,IMPROPER LANE USAGE,S,9440,traffic signal,DIVIDED - W/MEDIAN BARRIER,clear,,,,,,4,1,"[""FRONT"", ""REAR""]","[""BMW"", ""FORD""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]","[""ESCAPE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""67""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,17,0,afternoon,41.72,-87.59,41.72_-87.59,0,0,67.0,67.0,67.0,Following Too Closely
STRAIGHT AND LEVEL,2211,2025-09-20 00:36:00,7,0,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.6865995033,darkness,-87.7072444817,NO INDICATION OF INJURY,3,25,NOT APPLICABLE,,dry,NOT APPLICABLE,W,3442,no controls,NOT DIVIDED,clear,0.0,,,,,5,0,"[""OTHER"", ""REAR"", ""UNKNOWN""]","[""GENERAL MOTORS CORPORATION (GMC)"", ""HONDA"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""ACADIA"", ""CR-V"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,20,0,1,night,41.69,-87.71,41.69_-87.71,0,1,,,,Other
STRAIGHT AND LEVEL,522,2025-09-21 10:00:00,1,10,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.6846016546,daylight,-87.6278159399,NO INDICATION OF INJURY,2,30,IMPROPER LANE USAGE,NO DEFECTS,dry,NOT APPLICABLE,S,11520,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,,4,0,"[""SIDE-LEFT"", ""UNKNOWN""]","[""FORD"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""FUSION"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,10,1,morning,41.68,-87.63,41.68_-87.63,0,0,,,,Other
STRAIGHT AND LEVEL,231,2025-09-20 16:49:00,7,16,9,injury and / or tow due to crash,"OVER $1,500",FUNCTIONING PROPERLY,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.7966905861,daylight,-87.6194479354,NO INDICATION OF INJURY,3,30,FAILING TO REDUCE SPEED TO AVOID CRASH,NO DEFECTS,wet,UNABLE TO DETERMINE,E,230,stop sign/flasher,NOT DIVIDED,rain,,,,,,4,0,"[""FRONT-RIGHT-CORNER"", ""REAR"", ""REAR-LEFT-CORNER""]","[""FORD"", ""NISSAN""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""ALTIMA"", ""ECONOLINE E450""]","[""Y""]",[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,20,16,1,afternoon,41.8,-87.62,41.8_-87.62,0,0,,,,Speeding
STRAIGHT AND LEVEL,914,2025-09-21 21:00:00,1,21,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.8522564092,"darkness, lighted road",-87.6339100665,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,W,248,no controls,ONE-WAY,clear,,,,,,4,0,"[""SIDE-RIGHT"", ""UNKNOWN""]","[""LEXUS"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""RX350""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,21,1,evening,41.85,-87.63,41.85_-87.63,0,0,,,,Other
STRAIGHT AND LEVEL,1034,2025-09-19 14:27:00,6,14,9,no injury / drive away,"OVER $1,500",NO CONTROLS,ANGLE,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,41.8457393671,daylight,-87.6846243398,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,dry,NOT APPLICABLE,S,2526,no controls,ONE-WAY,clear,,,,,,4,1,"[""FRONT"", ""SIDE-LEFT""]","[""NISSAN"", ""TOYOTA""]","[""ENTER FROM DRIVE/ALLEY"", ""STRAIGHT AHEAD""]","[""CAMRY"", ""SENTRA""]",[],"[""35""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,14,0,afternoon,41.85,-87.68,41.85_-87.68,0,0,35.0,35.0,35.0,Failure-to-Yield
STRAIGHT AND LEVEL,1832,2025-09-20 01:55:00,7,1,9,no injury / drive away,"OVER $1,500",,SIDESWIPE SAME DIRECTION,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8924452824,"darkness, lighted road",-87.6327553744,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,wet,UNABLE TO DETERMINE,N,600,,DIVIDED - W/MEDIAN (NOT RAISED),rain,,,,,,4,1,"[""SIDE-RIGHT"", ""UNKNOWN""]","[""HONDA"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""CIVIC"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""77""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,20,1,1,night,41.89,-87.63,41.89_-87.63,0,0,77.0,77.0,77.0,Other
STRAIGHT AND LEVEL,2533,2025-09-21 13:30:00,1,13,9,no injury / drive away,"OVER $1,500",NO CONTROLS,ANGLE,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9147480719,daylight,-87.7458721147,NO INDICATION OF INJURY,2,20,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,N,1851,no controls,PARKING LOT,clear,,,,,,4,1,"[""REAR"", ""SIDE-LEFT""]","[""CHEVROLET"", ""UNKNOWN""]","[""BACKING"", ""SLOW/STOP IN TRAFFIC""]","[""EQUINOX"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""57""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,13,1,afternoon,41.91,-87.75,41.91_-87.75,0,0,57.0,57.0,57.0,Other
STRAIGHT AND LEVEL,1833,2025-09-19 17:10:00,6,17,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.897702581,daylight,-87.6234619563,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,dry,NOT APPLICABLE,E,160,no controls,ONE-WAY,clear,,,,,,4,1,"[""SIDE-RIGHT"", ""UNKNOWN""]","[""FORD"", ""UNKNOWN""]","[""ENTERING TRAFFIC LANE FROM PARKING"", ""STRAIGHT AHEAD""]","[""ESCAPE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""51""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,17,0,afternoon,41.9,-87.62,41.9_-87.62,0,0,51.0,51.0,51.0,Failure-to-Yield
STRAIGHT AND LEVEL,1722,2025-09-19 15:45:00,6,15,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9606227836,daylight,-87.7467523884,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,dry,FAILING TO REDUCE SPEED TO AVOID CRASH,W,4739,no controls,CENTER TURN LANE,cloudy/overcast,,,,,,4,1,"[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT-FRONT""]","[""CHEVROLET"", ""UNKNOWN""]","[""CHANGING LANES"", ""STRAIGHT AHEAD""]","[""CORVETTE"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""67""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,15,0,afternoon,41.96,-87.75,41.96_-87.75,0,0,67.0,67.0,67.0,Failure-to-Yield
STRAIGHT AND LEVEL,1934,2025-09-21 18:50:00,1,18,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE OPPOSITE DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.9389210638,daylight,-87.6442135215,NO INDICATION OF INJURY,2,30,DRIVING ON WRONG SIDE/WRONG WAY,,dry,NOT APPLICABLE,N,3143,no controls,NOT DIVIDED,clear,1.0,,,,,3,1,"[""FRONT-LEFT-CORNER"", ""SIDE-LEFT""]","[""LINCOLN"", ""TESLA""]","[""PASSING/OVERTAKING"", ""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""34""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,18,1,afternoon,41.94,-87.64,41.94_-87.64,0,0,34.0,34.0,34.0,Other
STRAIGHT AND LEVEL,1533,2025-09-22 07:00:00,2,7,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.8757478675,daylight,-87.7468724219,NO INDICATION OF INJURY,2,20,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,W,4845,no controls,ONE-WAY,clear,1.0,,,,,4,0,"[""SIDE-LEFT"", ""UNKNOWN""]","[""CHEVROLET"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""MALIBU"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,22,7,0,morning,41.88,-87.75,41.88_-87.75,0,0,,,,Other
STRAIGHT AND LEVEL,1831,2025-09-22 18:10:00,2,18,9,no injury / drive away,"OVER $1,500",NO CONTROLS,REAR END,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8924152017,daylight,-87.6369089289,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,NO DEFECTS,dry,FOLLOWING TOO CLOSELY,N,601,no controls,NOT DIVIDED,clear,,,,,,4,1,"[""FRONT"", ""REAR""]","[""FORD"", ""TOYOTA""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]","[""FUSION"", ""PRIUS""]",[],"[""59""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,18,0,afternoon,41.89,-87.64,41.89_-87.64,0,0,59.0,59.0,59.0,Following Too Closely
STRAIGHT AND LEVEL,324,2025-09-23 15:33:00,3,15,9,no injury / drive away,"OVER $1,500",NO CONTROLS,REAR TO FRONT,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.758811165,daylight,-87.5931705297,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,E,1300,no controls,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,,3,1,"[""FRONT"", ""REAR""]","[""CHEVROLET"", ""UNKNOWN""]","[""BACKING"", ""SLOW/STOP IN TRAFFIC""]","[""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""25""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,23,15,0,afternoon,41.76,-87.59,41.76_-87.59,0,0,25.0,25.0,25.0,Other
"CURVE, LEVEL",2422,2025-09-21 00:50:00,1,0,9,injury and / or tow due to crash,"OVER $1,500",,FIXED OBJECT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0226518702,darkness,-87.6663073503,NO INDICATION OF INJURY,1,25,UNABLE TO DETERMINE,,wet,UNABLE TO DETERMINE,N,7758,traffic signal,DIVIDED - W/MEDIAN (NOT RAISED),rain,1.0,,,,,2,0,"[""FRONT-RIGHT-CORNER""]","[""VOLKSWAGEN""]","[""UNKNOWN/NA""]","[""TIGUAN""]","[""Y""]",[],"[""DEPLOYED, COMBINATION""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,0,1,night,42.02,-87.67,42.02_-87.67,0,0,,,,Other
STRAIGHT AND LEVEL,1833,2025-09-19 15:30:00,6,15,9,no injury / drive away,"OVER $1,500",,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.899248597,,-87.6242749782,NO INDICATION OF INJURY,2,25,NOT APPLICABLE,,,NOT APPLICABLE,N,900,,NOT DIVIDED,,,,,,,4,1,"[""FRONT-RIGHT-CORNER"", ""REAR-LEFT-CORNER""]","[""NOVA BUS"", ""SUBARU""]","[""UNKNOWN/NA""]","[""CROSSTREK"", ""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""75""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,15,0,afternoon,41.9,-87.62,41.9_-87.62,0,0,75.0,75.0,75.0,Other
